StockCode,Observations,AveragePrice_INR,AverageDemand,MedianDemand,MinPrice_INR,MaxPrice_INR,PriceVariationPct,Elasticity,Elasticity_R2,Intercept,ElasticityType,Confidence
22907,449,98.03355605048255,19.407572383073497,12.0,71.0,166.0,133.80281690140845,-1.505433175941993,0.0417744960147276,8.884660921240688,Elastic,Low
22384,683,205.0615695756984,30.30453879941435,19.0,142.0,506.0,256.3380281690141,-1.5036436894309935,0.07479453729269836,10.457537214594275,Elastic,Low
21829,688,27.216933139534884,21.896802325581394,0.0,18.0,43.0,138.88888888888889,-1.4978999261830344,0.059623073665471704,6.321771793286917,Elastic,Low
21918,738,53.610953026196924,19.926829268292682,1.0,36.0,85.0,136.11111111111111,-1.490195781860875,0.06154057777013788,7.429734041535577,Elastic,Low
21811,722,166.3049531724047,8.926592797783934,0.0,39.0,257.0,558.9743589743589,-1.490078768285094,0.26120411728878046,8.205418231422131,Elastic,High
22815,449,53.52219747587231,7.7461024498886415,0.0,36.0,85.0,136.11111111111111,-1.489080167980753,0.10378195179477157,7.0300332780758685,Elastic,Medium
21506,738,49.404384436701505,15.131436314363144,1.0,36.0,86.0,138.88888888888889,-1.4879908998253686,0.051440058967096136,7.290910823845365,Elastic,Low
84347,738,386.61291437409324,43.94308943089431,0.0,189.5,591.0,211.87335092348283,-1.4851600959500086,0.08259208806189267,9.850503366817563,Elastic,Low
22697,485,386.0084077892326,20.04742268041237,12.0,255.0,591.0,131.76470588235293,-1.477119198059406,0.06750640039082278,10.986208661154178,Elastic,Low
22149,709,247.31170824943746,18.124118476727787,6.0,185.0,496.0,168.1081081081081,-1.4746064577989284,0.05881676822552673,9.915885970703458,Elastic,Low
22027,738,53.11463414634146,15.426829268292684,12.0,36.0,100.0,177.77777777777777,-1.4604378033059806,0.06519804240449922,7.465508305210108,Elastic,Low
21430,738,530.000166150471,6.420054200542006,0.0,286.0,778.0,172.02797202797203,-1.4504231442621005,0.1410869685612901,10.037622409913258,Elastic,Medium
85099B,738,236.88634201133723,127.23577235772358,62.0,165.0,506.0,206.66666666666669,-1.4385063291061602,0.02165408334029606,11.399833163187818,Elastic,Low
